name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
Chocolate Calypso Beans (remix),"1 lb. Jacob's Cattle beans
2 T. olive oil
1 large onion, chopped
1 red bell pepper, chopped
5 cloves garlic, minced
2T. ground, dried red chilies (I used med-hot Chimayo)
1 1/2 T ground cumin
2+ t.  ground cinnamon 
1 t. ground allspice
4 1/2 cups water or vegetable stock
1 12 oz. bottle Negro Modelo Mexican beer
1 1/2 discs Ibarra Mexican chocolate",http://www.101cookbooks.com/archives/000116.html,http://www.101cookbooks.com/mt-static/images/food/ranchogordobeans.jpg,,,2004-09-06,,101 Cookbooks: Chocolate Calypso Beans Recipe,Unknown
Green Curry with Tofu,"Ingredients for chili paste:
2 green hot chilies (Thai chilies)
1 tablespoon chopped shallots
1 teaspoon chopped galangal 
1/2 teaspoon chopped kaffir lime rind
1 tablespoon chopped garlic
1 tablespoon chopped lemongrass
1 tablespoon chopped krachai
1/4 teaspoon roasted cumin seeds
1/4 teaspoon roasted coriander seeds
1/2 teaspoon salt
Other ingredients:
1 cup sliced eggplants
1/4 cup smaller pea-like eggplants (makheau phuang)
1/3 cup sliced onion
70 grams sliced chicken (or firm tofu)
1 teaspoon sugar
1 tablespoon fish sauce (or soy sauce for vegetarians)
3 kaffir lime leaves
2 stems sweet basil (horapaa)
1 cup coconut milk
1 cup water
(Again, chicken can be replaced tofu)",http://www.101cookbooks.com/archives/000130.html,http://www.101cookbooks.com/mt-static/images/food/.jpg,,,2004-12-01,,101 Cookbooks: Green Curry with Tofu Recipe,Unknown
Wild Mushroom Salad Recips,"150 g (5 oz) assorted wild mushrooms
2 tablespoons stock
pinch of salt
pinch of white sugar - optional
3 tablespoons lime juice (you might use less)
2 tablespoons fish sauce (for veg: substitute a splash of soy sauce)
large pinch of roasted chili powder
4 shallots, sliced
handful of mixed mint and coriander leaves
2 tablespoons shredded pak chii farang (long-leaf coriander)
1 tablespoon chopped spring (green) onion
1 tablespoon ground roasted rice
-a few sprigs of Thai basil
-sliced cabbage and cucumber",http://www.101cookbooks.com/archives/000140.html,http://www.101cookbooks.com/mt-static/images/food/thaiwildmush.jpg,,,2005-02-01,,101 Cookbooks: Wild Mushroom Salad Recipe,Unknown
Fresh Apple Salsa,"2 tart apples, locally grown if possible
4 tablespoons lime juice
1 fresh jalapeno chile
1 fresh Anaheim chile
1/2 medium onion, finely chopped
Handful of cilantro, roughly chopped
1/2 cup (2 ounces) walnuts, coarsely chopped and lightly toasted
2 tablespoons peeled and finely slivered fresh ginger
1/4 teaspoon salt",http://www.101cookbooks.com/archives/000170.html,http://www.101cookbooks.com/mt-static/images/food/applesalsa.jpg,,Serves 4 to 6.,2005-05-28,,101 Cookbooks: From the Archives: Fresh Apple Salsa Recipe,Unknown
Pierce Street Vegetarian Chili Recipe,"2 tablespoons olive oil
1 large yellow onion, chopped
2 shallots, chopped
8 small/med garlic cloves, finely chopped
1 tablespoon ginger, peeled and grated
3 tablespoons chili powder
1 teaspoon ground cumin
1 serrano pepper, seeded and finely chopped
1 chipotle pepper (from can or rehydrate), minced
1 28-ounce can of crushed tomatoes
10  cups vegetable broth
1 1/2 cups cooked chickpeas (canned is fine)
2 1/4 cups black, brown, or green lentils (or combo), rinsed and picked over
2/3 cup pearled barley or pearled farro
2/3 cup bulgur wheat
1 teaspoon fine grain sea salt (or to taste)
toppings (opt): a bit of chopped serranos, a bit of feta or dollop of thinned out salted yogurt, a drizzle of equal parts chopped fresh oregano and olive oil, chopped onion",http://www.101cookbooks.com/archives/pierce-street-vegetarian-chili-recipe.html,http://www.101cookbooks.com/mt-static/images/food/vegetarian_chili_recipe.jpg,,,2009-05-13,,"The best pot of chili I've made in years. A vegetarian chili recipe Inspired by a bunch of those little bags of remnant grains and pulses that collect in my cupboards - bulgur, farro, and lentils, join chile peppers, crushed tomatoes, some chickpeas, and a secret ingredient.",Unknown
Vegetarian Tortilla Soup Recipe,"6-8 corn tortillas, cut in half and then into  matchstick-thin strips
a big splash of extra virgin olive oil
fine grain sea salt
20 small yellow or red cherry tomatoes
another splash of extra virgin olive oil
3 cloves garlic, chopped
1 large white onion, chopped
1 teaspoon ground cumin
2 teaspoons ground coriander
1 teaspoon cayenne or other spicy red chili powder
1 14-ounce can crushed tomatoes
6 cups vegetable broth (or water)
a few sun-dried tomatoes, chopped
1/4 cup of goat cheese, crumbled",http://www.101cookbooks.com/archives/vegetarian-tortilla-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/tortilla_soup_recipe.jpg,,Makes about 6 servings.,2008-06-19,,"My tortilla soup recipe - a full-bodied, spicy vegetarian broth envelops a nest of baked tortilla matchsticks. Tiny roasted tomatoes along with a bit of goat cheese lend tang and texture, and flecks of sun-dried tomatoes bring depth and richness to each bowl.",Unknown
Bourbon Baked Sweet Potatoes,"5-6 chubby, red-fleshed sweet potatoes
Splash of extra-virgin olive oil
Salt and pepper
1-inch square of ginger, peeled and grated
2 generous pinches of ground cinnamon or canela
1 generous pinch of ground cloves
Zest of one lemon (orange zest would be good too)
3T unsalted butter, melted and cooled a bit
1/4 cup maple syrup
Splash of milk (2T. or so)
Splash of bourbon (2T. or so)
1/4 freshly grated Parmesan (not from the plastic container!)
Spicy Pecans (recipe below)
1 tablespoon unsalted butter
2 cups pecans
1/3 cup brown sugar
1 teaspoon paprika
1 teaspoon red chile powder
3 tablespoons cider vinegar",http://www.101cookbooks.com/archives/000129.html,http://www.101cookbooks.com/mt-static/images/food/bourbonsweet2.jpg,,,2004-11-26,,101 Cookbooks: Bourbon Baked Sweet Potatoes Recipe,Unknown
Red Rice Salad with Boiled Eggs and Macadamias,"1 3/4 cups to 2 cups water
1 cup red rice
2 tablespoons oil 
4 large shallots, chopped
3 cloves garlic, chopped
1 large red chile, seeded and chopped
1-inch piece ginger root, chopped (hs note: I grated it)
1 teaspoon ground coriander
1 large carrot, thinly sliced
8 ounces green beans, trimmed and chopped
1/2 cup coconut milk (hs note: lite is fine)
1/4 cup soy sauce
1/2 teaspoon molasses
4 large eggs, boiled and peeled
1 large lime, quartered
1/2 cup julienned fresh basil
1/4 cup macadamia nuts, toasted and chopped",http://www.101cookbooks.com/archives/red-rice-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/redricesaladrecipe_07.jpg,,Serves 8.,2007-09-19,,"Indonesian red rice salad with boiled eggs and macadamias. Riveting to look at, with a wonderfully complex array of flavors and textures to enjoy.
",Unknown
Rajasthani Buttermilk Curry Recipe,"1 tablespoon vegetable oil (hs note: I used clarified butter)
1 1/2 teaspoons black mustard seeds
1/2 teaspoon cumin seeds
1/2 teaspoon turmeric
1 large or 2 medium scallions, trimmed, sliced lengthwise in half and then crosswise into 1-inch lengths
1 green cayenne chile, minced (hs note: the serrano I had on hand was a reasonable substitute)
1/4 water, if using yogurt
1 cup plain (full-or-reduced fat) yogurt OR 1 1/4 cups buttermilk
1/2 teaspoon salt, or to taste
2/3 tablespoons chopped coriander leaves (hs note: also known as cilantro)",http://www.101cookbooks.com/archives/001407.html,http://www.101cookbooks.com/mt-static/images/food/buttermilk_curry_recipe.jpg,,Serves 2 to 3.,2006-05-18,,"Rajasthani buttermilk curry recipe from the award-winning cookbook Mangoes &amp; Curry Leaves, by Jeffrey Alford and Naomi Duguid.",Unknown
Roasted Cauliflower Recipe,"4-inch segment of a thin day-old baguette
1 medium head of cauliflower, washed
extra-virgin olive oil
scant 1/2 teaspoon salt
2 cloves garlic, minced
1 fresh red chile pepper, minced",http://www.101cookbooks.com/archives/001533.html,http://www.101cookbooks.com/mt-static/images/food/roastedcauliflower.jpg,,Serves 4. ,2006-11-29,,"Oven-roasted cauliflower florets with breadcrumbs, garlic, red chile pepper, salt and olive oil.",Unknown
